date,category_group,category,payee,account,inflow,outflow
01/01/2021,Food,Dining Out,McDonald's,Capital One Savor,$0,$9.62
01/01/2021,Home,Rent,55555 Main Street,Bank of America Checking,$0,$1000
01/01/2021,Home,Utilities,Electric Company,Bank of America Checking,$0,$100
01/01/2021,Subscriptions,Netflix,Netflix,Capital One Savor,$0,$15
01/01/2021,Inflow,Ready to Assign,"My Job, Inc.",Bank of America Checking,$4000,$0
01/01/2021,Inflow,Ready to Assign,Interest,Capital One Savings,$100,$0
01/02/2021,Shopping,Clothes,Madewell,Citi Double Cash,$0,$40.08
01/02/2021,Food,Dining Out,McDonald's,Capital One Savor,$0,$9.75
01/02/2021,Food,Dining Out,Chick Fil-A,Capital One Savor,$0,$12.46
01/03/2021,Shopping,Clothes,Zara,Citi Double Cash,$0,$51
01/03/2021,Food,Dining Out,Subway,Capital One Savor,$0,$10.86
01/03/2021,Food,Groceries,Safeway,Capital One Savor,$0,$14.55
01/03/2021,Food,Dining Out,Chick Fil-A,Capital One Savor,$0,$12.38
01/04/2021,Transportation,Rideshare,Uber,Capital One Savor,$0,$9.4
01/04/2021,Food,Groceries,Safeway,Capital One Savor,$0,$16.33
01/05/2021,Transportation,Public Transportation,Bus,Citi Double Cash,$0,$3.59
01/05/2021,Shopping,Clothes,Target,Citi Double Cash,$0,$15.16
01/05/2021,Shopping,Merchandise,Walmart,Citi Double Cash,$0,$20.51
01/06/2021,Food,Groceries,Safeway,Capital One Savor,$0,$15.54
01/06/2021,Food,Dining Out,Dunkin',Capital One Savor,$0,$11.31
01/06/2021,Shopping,Merchandise,Walmart,Citi Double Cash,$0,$19.56
01/06/2021,Shopping,Entertainment,AMC,Capital One Savor,$0,$11.66
01/07/2021,Shopping,Merchandise,Walmart,Citi Double Cash,$0,$20.82
01/07/2021,Transportation,Gas,7-Eleven,Citi Custom Cash,$0,$31.01
01/07/2021,Food,Groceries,Giant,Capital One Savor,$0,$13.72
01/08/2021,Food,Groceries,Safeway,Capital One Savor,$0,$16.03
01/08/2021,Shopping,Merchandise,Target,Citi Double Cash,$0,$20.18
01/08/2021,Transportation,Parking,Parkmobile,Citi Double Cash,$0,$4.2
01/08/2021,Transportation,Rideshare,Uber,Capital One Savor,$0,$7.98
01/09/2021,Food,Groceries,Giant,Capital One Savor,$0,$15.65
01/09/2021,Shopping,Merchandise,Target,Citi Double Cash,$0,$20.11
01/09/2021,Shopping,Entertainment,Alamo,Capital One Savor,$0,$12.69
01/09/2021,Food,Groceries,Safeway,Capital One Savor,$0,$14.76
01/09/2021,Transportation,Public Transportation,Metro,Citi Double Cash,$0,$2.11
01/10/2021,Food,Dining Out,Dunkin',Capital One Savor,$0,$9.73
01/10/2021,Food,Groceries,Safeway,Capital One Savor,$0,$14.48
01/10/2021,Shopping,Entertainment,Washington Nationals,Capital One Savor,$0,$19.78
01/10/2021,Food,Dining Out,Chick Fil-A,Capital One Savor,$0,$11.42
01/11/2021,Food,Groceries,Trader Joe's,Capital One Savor,$0,$16.55
01/11/2021,Shopping,Merchandise,Walmart,Citi Double Cash,$0,$21.65
01/12/2021,Transportation,Rideshare,Lyft,Citi Double Cash,$0,$10.34
01/12/2021,Shopping,Entertainment,Washington Nationals,Capital One Savor,$0,$20.97
01/12/2021,Shopping,Merchandise,Amazon,Citi Double Cash,$0,$18.91
01/13/2021,Food,Dining Out,Chipotle,Capital One Savor,$0,$15.7
01/13/2021,Shopping,Merchandise,Target,Citi Double Cash,$0,$20.18
01/13/2021,Food,Dining Out,Chick Fil-A,Capital One Savor,$0,$12.14
01/15/2021,Food,Dining Out,McDonald's,Capital One Savor,$0,$11.01
01/15/2021,Food,Groceries,Whole Foods,Amazon,$0,$14.03
01/15/2021,Shopping,Merchandise,Walmart,Citi Double Cash,$0,$20.08
01/15/2021,Food,Groceries,Safeway,Capital One Savor,$0,$16.37
01/15/2021,Shopping,Entertainment,Alamo,Capital One Savor,$0,$12.25
01/15/2021,Transportation,Parking,Parkmobile,Citi Double Cash,$0,$4.51
01/16/2021,Food,Dining Out,Chipotle,Capital One Savor,$0,$16.07
01/16/2021,Food,Dining Out,Dunkin',Capital One Savor,$0,$9.32
01/16/2021,Food,Groceries,Safeway,Capital One Savor,$0,$14.96
01/17/2021,Food,Dining Out,Subway,Capital One Savor,$0,$8.87
01/17/2021,Transportation,Gas,7-Eleven,Citi Custom Cash,$0,$29.65
01/17/2021,Food,Groceries,Safeway,Capital One Savor,$0,$15.12
01/17/2021,Transportation,Public Transportation,Metro,Citi Double Cash,$0,$2.92
01/18/2021,Food,Dining Out,Chick Fil-A,Capital One Savor,$0,$11.74
01/18/2021,Shopping,Merchandise,Walmart,Citi Double Cash,$0,$18.35
01/18/2021,Food,Groceries,Safeway,Capital One Savor,$0,$14.36
01/19/2021,Food,Dining Out,Chipotle,Capital One Savor,$0,$16.71
01/19/2021,Shopping,Merchandise,Amazon,Citi Double Cash,$0,$18.58
01/19/2021,Shopping,Entertainment,Washington Nationals,Capital One Savor,$0,$21.2
01/19/2021,Shopping,Merchandise,Target,Citi Double Cash,$0,$19.8
01/20/2021,Food,Dining Out,Chick Fil-A,Capital One Savor,$0,$12.27
01/20/2021,Food,Groceries,Trader Joe's,Capital One Savor,$0,$14.99
01/20/2021,Food,Groceries,Giant,Capital One Savor,$0,$15.85
01/20/2021,Transportation,Public Transportation,Metro,Citi Double Cash,$0,$3.04
01/21/2021,Shopping,Merchandise,Amazon,Citi Double Cash,$0,$21.69
01/21/2021,Shopping,Clothes,Zara,Citi Double Cash,$0,$48.1
01/22/2021,Shopping,Merchandise,Amazon,Citi Double Cash,$0,$20.84
01/22/2021,Food,Groceries,Safeway,Capital One Savor,$0,$14.7
01/23/2021,Transportation,Rideshare,Lyft,Citi Double Cash,$0,$12.12
01/23/2021,Food,Groceries,Giant,Capital One Savor,$0,$15.42
01/23/2021,Food,Dining Out,Subway,Capital One Savor,$0,$10.11
01/23/2021,Food,Groceries,Safeway,Capital One Savor,$0,$14.53
01/24/2021,Shopping,Merchandise,Amazon,Citi Double Cash,$0,$18.52
01/24/2021,Food,Dining Out,McDonald's,Capital One Savor,$0,$10.35
01/24/2021,Food,Groceries,Safeway,Capital One Savor,$0,$16.32
01/25/2021,Shopping,Clothes,Madewell,Citi Double Cash,$0,$40.9
01/25/2021,Food,Dining Out,Chipotle,Capital One Savor,$0,$15.06
