date,category_group,category,payee,account,inflow,outflow
2021-01-01,Food,Groceries,Safeway,Capital One Savor,0,15.126135629422727
2021-01-01,Shopping,Merchandise,Walmart,Citi Double Cash,0,20.320513741011627
2021-01-01,Food,Dining Out,McDonald's,Capital One Savor,0,10.508982257782256
2021-01-01,Home,Rent,55555 Main Street,Bank of America Checking,0,1000
2021-01-01,Home,Utilities,Electric Company,Bank of America Checking,0,100
2021-01-01,Subscriptions,Netflix,Netflix,Capital One Savor,0,15
2021-01-01,Inflow,Ready to Assign,"My Job, Inc.",Bank of America Checking,4000,0
2021-01-01,Inflow,Ready to Assign,Interest,Capital One Savings,100,0
2021-01-02,Food,Dining Out,Subway,Capital One Savor,0,10.698429963119056
2021-01-02,Food,Groceries,Safeway,Capital One Savor,0,13.049193719733303
2021-01-03,Food,Dining Out,Dunkin',Capital One Savor,0,9.021665289861044
2021-01-03,Transportation,Rideshare,Lyft,Citi Double Cash,0,8.88755000092079
2021-01-03,Food,Dining Out,Chipotle,Capital One Savor,0,13.699435812653878
2021-01-03,Transportation,Public Transportation,Bus,Citi Double Cash,0,4.592433716083752
2021-01-04,Transportation,Gas,Citgo,Citi Custom Cash,0,29.41271715543116
2021-01-04,Shopping,Clothes,Target,Citi Double Cash,0,14.62464313334328
2021-01-04,Transportation,Public Transportation,Metro,Citi Double Cash,0,4.843392275550228
2021-01-04,Transportation,Parking,Parking Garage,Citi Double Cash,0,3.407542686967842
2021-01-05,Shopping,Merchandise,Amazon,Citi Double Cash,0,19.325501816869078
2021-01-05,Food,Groceries,Trader Joe's,Capital One Savor,0,14.380420213723536
2021-01-05,Food,Dining Out,Subway,Capital One Savor,0,10.067124368025294
2021-01-05,Food,Dining Out,McDonald's,Capital One Savor,0,9.746564988950645
2021-01-06,Transportation,Gas,Citgo,Citi Custom Cash,0,31.054475222715837
2021-01-06,Shopping,Merchandise,Amazon,Citi Double Cash,0,19.1246220136632
2021-01-07,Food,Groceries,Giant,Capital One Savor,0,15.638112492725021
2021-01-07,Shopping,Clothes,Madewell,Citi Double Cash,0,40.30465628912982
2021-01-07,Shopping,Merchandise,Walmart,Citi Double Cash,0,19.727667555806168
2021-01-07,Food,Groceries,Trader Joe's,Capital One Savor,0,14.636906069850092
2021-01-08,Shopping,Merchandise,Amazon,Citi Double Cash,0,18.175075152986206
2021-01-08,Food,Groceries,Trader Joe's,Capital One Savor,0,14.921429173237945
2021-01-08,Shopping,Merchandise,Walmart,Citi Double Cash,0,19.014915282578905
2021-01-09,Shopping,Entertainment,Alamo,Capital One Savor,0,13.703155918282723
2021-01-09,Food,Dining Out,Chipotle,Capital One Savor,0,16.937681477934262
2021-01-09,Food,Groceries,Safeway,Capital One Savor,0,16.181336405507952
2021-01-09,Food,Dining Out,Dunkin',Capital One Savor,0,11.160738583379064
2021-01-10,Shopping,Merchandise,Target,Citi Double Cash,0,20.234643638089313
2021-01-10,Food,Groceries,Safeway,Capital One Savor,0,15.202366819217346
2021-01-10,Food,Dining Out,Dunkin',Capital One Savor,0,8.988531866078091
2021-01-10,Transportation,Public Transportation,Bus,Citi Double Cash,0,2.3397255279187927
2021-01-11,Shopping,Merchandise,Amazon,Citi Double Cash,0,20.46716748407569
2021-01-11,Shopping,Clothes,Target,Citi Double Cash,0,15.387145731009168
2021-01-12,Transportation,Rideshare,Lyft,Citi Double Cash,0,10.609679185985062
2021-01-12,Transportation,Gas,Citgo,Citi Custom Cash,0,28.489605312191102
2021-01-12,Food,Groceries,Giant,Capital One Savor,0,16.038875845465604
2021-01-12,Food,Groceries,Safeway,Capital One Savor,0,14.190795993334161
2021-01-13,Shopping,Merchandise,Target,Citi Double Cash,0,19.516177875266187
2021-01-13,Transportation,Rideshare,Lyft,Citi Double Cash,0,8.423884518369963
2021-01-13,Food,Groceries,Giant,Capital One Savor,0,16.42655405975769
2021-01-14,Shopping,Merchandise,Amazon,Citi Double Cash,0,19.31919556718755
2021-01-14,Transportation,Public Transportation,Bus,Citi Double Cash,0,2.8532918681810493
2021-01-14,Food,Groceries,Whole Foods,Amazon,0,14.200027188536074
2021-01-15,Shopping,Merchandise,Target,Citi Double Cash,0,21.585952138959836
2021-01-15,Food,Dining Out,Chick Fil-A,Capital One Savor,0,13.184898681719128
2021-01-15,Food,Groceries,Giant,Capital One Savor,0,13.961383908307537
2021-01-15,Transportation,Gas,7-Eleven,Citi Custom Cash,0,30.135268983013763
2021-01-16,Transportation,Public Transportation,Metro,Citi Double Cash,0,3.2290051709951237
2021-01-16,Transportation,Rideshare,Lyft,Citi Double Cash,0,9.976083809259197
2021-01-16,Food,Dining Out,Chipotle,Capital One Savor,0,15.168604307966131
2021-01-17,Food,Groceries,Safeway,Capital One Savor,0,15.633741698958177
2021-01-17,Shopping,Merchandise,Amazon,Citi Double Cash,0,20.293066535516235
2021-01-18,Shopping,Merchandise,Amazon,Citi Double Cash,0,21.032360074944172
2021-01-18,Shopping,Entertainment,Alamo,Capital One Savor,0,12.383790493054564
2021-01-18,Transportation,Parking,Parking Garage,Citi Double Cash,0,3.3810187630969293
2021-01-18,Transportation,Gas,Shell,Citi Custom Cash,0,31.43794683791239
2021-01-18,Food,Dining Out,Chick Fil-A,Capital One Savor,0,13.281289825086246
2021-01-19,Shopping,Merchandise,Target,Citi Double Cash,0,20.825651365243637
2021-01-19,Transportation,Parking,Parkmobile,Citi Double Cash,0,2.6547985092921147
2021-01-19,Food,Groceries,Safeway,Capital One Savor,0,13.47598068198189
2021-01-19,Food,Dining Out,Dunkin',Capital One Savor,0,11.334957239054829
2021-01-20,Transportation,Public Transportation,Metro,Citi Double Cash,0,1.3034120326296323
2021-01-20,Food,Dining Out,McDonald's,Capital One Savor,0,9.466007546665233
2021-01-20,Transportation,Parking,Parkmobile,Citi Double Cash,0,1.964487192877451
2021-01-20,Food,Dining Out,Chick Fil-A,Capital One Savor,0,13.07735235856353
2021-01-21,Food,Dining Out,Chick Fil-A,Capital One Savor,0,12.213240716493642
2021-01-21,Transportation,Rideshare,Uber,Capital One Savor,0,8.256288925023583
2021-01-21,Food,Groceries,Safeway,Capital One Savor,0,15.612788462860333
2021-01-21,Transportation,Gas,Citgo,Citi Custom Cash,0,30.260596614156462
2021-01-22,Food,Dining Out,Subway,Capital One Savor,0,9.491827675136644
2021-01-22,Shopping,Merchandise,Walmart,Citi Double Cash,0,18.646534395131578
2021-01-23,Transportation,Rideshare,Uber,Capital One Savor,0,9.264642754945754
2021-01-23,Transportation,Gas,7-Eleven,Citi Custom Cash,0,30.480274375917546
2021-01-24,Food,Dining Out,Dunkin',Capital One Savor,0,10.88517297963293
2021-01-24,Food,Dining Out,Subway,Capital One Savor,0,9.286254681929629
2021-01-24,Transportation,Rideshare,Lyft,Citi Double Cash,0,9.442311161263579
2021-01-25,Food,Groceries,Trader Joe's,Capital One Savor,0,14.53168777261731
2021-01-25,Food,Groceries,Giant,Capital One Savor,0,13.628761846603252
2021-01-26,Transportation,Parking,Parking Garage,Citi Double Cash,0,2.4993095575758226
2021-01-26,Shopping,Clothes,Target,Citi Double Cash,0,13.621532785309247
2021-01-26,Shopping,Merchandise,Target,Citi Double Cash,0,18.957160475252508
2021-01-27,Food,Groceries,Safeway,Capital One Savor,0,14.087020323808956
2021-01-27,Shopping,Merchandise,Amazon,Citi Double Cash,0,20.792587717558277
2021-01-28,Shopping,Merchandise,Target,Citi Double Cash,0,21.546763482980825
2021-01-28,Food,Groceries,Safeway,Capital One Savor,0,15.11160992439088
2021-01-29,Shopping,Merchandise,Amazon,Citi Double Cash,0,21.246908479139524
2021-01-29,Shopping,Merchandise,Target,Citi Double Cash,0,19.7276694983889
2021-01-30,Food,Dining Out,McDonald's,Capital One Savor,0,10.265437331093848
2021-01-30,Food,Dining Out,Dunkin',Capital One Savor,0,8.9154154950984
2021-01-31,Food,Dining Out,Chipotle,Capital One Savor,0,15.174391354334608
2021-01-31,Food,Dining Out,Chick Fil-A,Capital One Savor,0,13.446060506621158
2021-01-31,Transportation,Public Transportation,Metro,Citi Double Cash,0,4.288100545781144
2021-02-01,Shopping,Merchandise,Amazon,Citi Double Cash,0,20.933494089192124
2021-02-01,Transportation,Rideshare,Lyft,Citi Double Cash,0,11.360778155564269
2021-02-01,Food,Dining Out,Dunkin',Capital One Savor,0,10.79638540876684
2021-02-01,Food,Dining Out,Chipotle,Capital One Savor,0,14.57240572067411
2021-02-01,Home,Rent,55555 Main Street,Bank of America Checking,0,1000
2021-02-01,Home,Utilities,Electric Company,Bank of America Checking,0,100
2021-02-01,Subscriptions,Netflix,Netflix,Capital One Savor,0,15
2021-02-01,Inflow,Ready to Assign,"My Job, Inc.",Bank of America Checking,4000,0
2021-02-01,Inflow,Ready to Assign,Interest,Capital One Savings,100,0
2021-02-02,Transportation,Rideshare,Lyft,Citi Double Cash,0,10.19712903304129
2021-02-02,Shopping,Merchandise,Walmart,Citi Double Cash,0,19.35202210616391
2021-02-02,Shopping,Clothes,Zara,Citi Double Cash,0,51.50092019661962
2021-02-02,Food,Dining Out,Chipotle,Capital One Savor,0,15.018195303434164
2021-02-03,Food,Dining Out,McDonald's,Capital One Savor,0,9.539000474434397
2021-02-03,Food,Dining Out,Dunkin',Capital One Savor,0,8.410025789730122
2021-02-03,Transportation,Gas,Citgo,Citi Custom Cash,0,29.986401963483626
2021-02-03,Shopping,Entertainment,AMC,Capital One Savor,0,12.265329354365825
2021-02-04,Food,Dining Out,Subway,Capital One Savor,0,9.552691836346602
2021-02-04,Food,Groceries,Safeway,Capital One Savor,0,13.93360584319729
2021-02-05,Food,Groceries,Safeway,Capital One Savor,0,15.10516296416087
2021-02-05,Shopping,Merchandise,Walmart,Citi Double Cash,0,18.657799953464338
2021-02-05,Food,Dining Out,Subway,Capital One Savor,0,9.503662696074837
2021-02-05,Shopping,Merchandise,Target,Citi Double Cash,0,20.81542882104529
2021-02-06,Transportation,Rideshare,Uber,Capital One Savor,0,9.696471609194475
2021-02-06,Shopping,Merchandise,Amazon,Citi Double Cash,0,21.20111849175005
2021-02-06,Food,Dining Out,Dunkin',Capital One Savor,0,9.565198711416032
2021-02-06,Food,Groceries,Safeway,Capital One Savor,0,16.62756465116255
2021-02-07,Food,Groceries,Giant,Capital One Savor,0,15.171470579342506
2021-02-07,Food,Dining Out,Chipotle,Capital One Savor,0,13.235193925596816
2021-02-08,Shopping,Merchandise,Amazon,Citi Double Cash,0,19.863532789526708
2021-02-08,Food,Dining Out,Dunkin',Capital One Savor,0,9.851829328302703
2021-02-08,Transportation,Public Transportation,Bus,Citi Double Cash,0,2.4039835438989394
2021-02-08,Shopping,Clothes,Target,Citi Double Cash,0,14.563281194213264
2021-02-09,Shopping,Merchandise,Amazon,Citi Double Cash,0,19.518821750382486
2021-02-09,Food,Groceries,Safeway,Capital One Savor,0,15.54991003231771
2021-02-10,Shopping,Merchandise,Target,Citi Double Cash,0,18.91188961206725
2021-02-10,Food,Groceries,Safeway,Capital One Savor,0,15.449001738351429
2021-02-10,Transportation,Gas,Citgo,Citi Custom Cash,0,30.919423939339357
2021-02-11,Food,Groceries,Safeway,Capital One Savor,0,14.633349816150801
2021-02-11,Shopping,Entertainment,AMC,Capital One Savor,0,11.194350517861679
2021-02-11,Food,Dining Out,Chipotle,Capital One Savor,0,14.116526352992475
2021-02-11,Food,Groceries,Trader Joe's,Capital One Savor,0,14.049839152796205
2021-02-11,Food,Groceries,Whole Foods,Amazon,0,16.30023393623761
2021-02-12,Food,Groceries,Safeway,Capital One Savor,0,14.553161356491144
2021-02-12,Shopping,Clothes,Target,Citi Double Cash,0,16.040885664500873
2021-02-13,Transportation,Rideshare,Lyft,Citi Double Cash,0,11.81790787152671
2021-02-13,Shopping,Clothes,Madewell,Citi Double Cash,0,39.694154561633475
2021-02-14,Food,Groceries,Giant,Capital One Savor,0,15.173094285055576
2021-02-14,Shopping,Entertainment,Alamo,Capital One Savor,0,13.296289160059029
2021-02-15,Shopping,Merchandise,Target,Citi Double Cash,0,19.23584045731483
2021-02-15,Food,Dining Out,McDonald's,Capital One Savor,0,8.70555693013336
